Account;Reference Key 1;Reference;Document Date;Net due date;Amount in local currency;Amount in doc. curr.;Local Currency;Payment Method;Text;Assignment;Document Number;Clearing Document;Document Type;User Name;Reason code;Posting Key;Debit/Credit ind;Last Dunned;Dunning Level;Arrears after net due date,,
AB10000020;1481435917;15/07/2025;29/07/2025;49,054.85;49,054.85;EUR;B;;1493092758;8469441;2018956112;RV;B_BILAB01_02;;1;S;0;0;-14;53
AB10000020;1455525180;13/07/2025;21/07/2025;66,695.69;66,695.69;EUR;I;;1470942825;8400935;2004679739;RV;B_BILAB01_02;;1;S;0;-12;-2;33
AB10000020;1457439896;04/06/2025;23/06/2025;48,434.56;48,434.56;EUR;I;;1442817502;8448793;;RV;B_BILAB01_02;;1;S;0;-3;-11;1
AB10000020;1437598336;10/06/2025;25/06/2025;52,738.52;52,738.52;EUR;I;;1431614389;8452810;2036041573;RV;B_BILAB01_02;;1;S;0;0;-9;62
AB10000020;1451725798;12/06/2025;23/06/2025;47,565.06;47,565.06;EUR;I;;1496431651;8425720;;RV;B_BILAB01_02;;1;S;0;-1;-4;27
AB10000020;1468744012;14/06/2025;21/06/2025;10,177.98;10,177.98;EUR;B;;1402514274;8422788;;RV;B_BILAB01_02;;1;S;0;-5;-11;48
AB10000021;1407392988;11/06/2025;22/06/2025;41,900.00;41,900.00;EUR;B;;1421323615;8412993;2051381553;RV;B_BILAB01_02;;1;S;0;-2;-1;60
AB10000021;1483982883;10/07/2025;22/07/2025;63,852.84;63,852.84;EUR;B;;1441716192;8485419;2045476081;RV;B_BILAB01_02;;1;S;0;-4;-17;25
AB10000021;1419899621;11/07/2025;29/07/2025;21,369.29;21,369.29;EUR;I;;1431496295;8402052;2077184365;RV;B_BILAB01_02;;1;S;0;-7;-11;61
AB10000022;1444202167;27/07/2025;15/08/2025;36,589.93;36,589.93;EUR;I;;1482859182;8451134;2021501173;RV;B_BILAB01_02;;1;S;0;-3;-4;22
AB10000022;1476835673;24/07/2025;01/08/2025;38,253.58;38,253.58;EUR;I;;1424181286;8407870;2070485454;RV;B_BILAB01_02;;1;S;0;-7;-8;57
AB10000022;1445260672;03/07/2025;15/07/2025;47,498.96;47,498.96;EUR;C;;1462363076;8443043;;RV;B_BILAB01_02;;1;S;0;0;-13;1
AB10000022;1487490476;25/07/2025;11/08/2025;62,666.96;62,666.96;EUR;C;;1412495474;8425601;2099791488;RV;B_BILAB01_02;;1;S;0;-7;-2;58
AB10000022;1487670068;10/07/2025;25/07/2025;60,409.38;60,409.38;EUR;C;;1470540604;8444111;;RV;B_BILAB01_02;;1;S;0;-3;-19;26
AB10000022;1428467467;29/06/2025;09/07/2025;58,516.74;58,516.74;EUR;B;;1425703417;8405666;2042856631;RV;B_BILAB01_02;;1;S;0;0;-13;11
AB10000022;1422297521;11/06/2025;28/06/2025;38,859.86;38,859.86;EUR;I;;1481067624;8468368;2052425715;RV;B_BILAB01_02;;1;S;0;-8;-19;47
AB10000022;1484948370;25/06/2025;09/07/2025;45,204.85;45,204.85;EUR;C;;1445999150;8440701;2029904254;RV;B_BILAB01_02;;1;S;0;-15;-4;0
AB10000022;1407060071;14/07/2025;22/07/2025;6,476.71;6,476.71;EUR;B;;1437186357;8427790;2023674025;RV;B_BILAB01_02;;1;S;0;-10;-20;62
AB10000022;1463391559;29/07/2025;16/08/2025;35,805.56;35,805.56;EUR;C;;1404926986;8438290;;RV;B_BILAB01_02;;1;S;0;-12;-3;20
AB10000022;1490085239;25/07/2025;10/08/2025;68,530.74;68,530.74;EUR;I;;1431020848;8489981;2033199857;RV;B_BILAB01_02;;1;S;0;-2;-20;4
AB10000022;1433731692;18/07/2025;26/07/2025;10,294.85;10,294.85;EUR;I;;1438390618;8485381;2063942769;RV;B_BILAB01_02;;1;S;0;-9;-17;51
AB10000022;1402875545;09/07/2025;17/07/2025;34,497.46;34,497.46;EUR;C;;1484049397;8412269;;RV;B_BILAB01_02;;1;S;0;-1;-16;31
AB10000022;1403850798;07/06/2025;14/06/2025;38,231.72;38,231.72;EUR;B;;1406902287;8417769;2065278918;RV;B_BILAB01_02;;1;S;0;-14;-4;16
AB10000023;1423890628;09/06/2025;19/06/2025;26,546.56;26,546.56;EUR;C;;1481272812;8417376;2018932812;RV;B_BILAB01_02;;1;S;0;-13;-20;21
AB10000023;1437448028;17/07/2025;02/08/2025;32,525.12;32,525.12;EUR;I;;1468267377;8481477;2000203946;RV;B_BILAB01_02;;1;S;0;-15;-10;6
AB10000023;1494964484;28/07/2025;10/08/2025;37,679.34;37,679.34;EUR;C;;1464252048;8457119;2047337249;RV;B_BILAB01_02;;1;S;0;-8;-6;37
AB10000023;1474122504;02/07/2025;08/07/2025;65,212.94;65,212.94;EUR;C;;1487506495;8494585;2050687829;RV;B_BILAB01_02;;1;S;0;-2;-11;30
AB10000023;1477381100;28/07/2025;02/08/2025;40,435.24;40,435.24;EUR;B;;1423639348;8453297;2051352914;RV;B_BILAB01_02;;1;S;0;-11;-7;38
AB10000023;1495876006;26/07/2025;09/08/2025;12,115.29;12,115.29;EUR;I;;1411263701;8416237;;RV;B_BILAB01_02;;1;S;0;-4;-12;9
AB10000023;1472031946;12/07/2025;29/07/2025;12,864.52;12,864.52;EUR;C;;1497171848;8470252;2059234360;RV;B_BILAB01_02;;1;S;0;-10;-20;54
AB10000023;1460927693;11/06/2025;20/06/2025;33,435.39;33,435.39;EUR;I;;1400136396;8448562;;RV;B_BILAB01_02;;1;S;0;-2;-1;1
AB10000023;1478175425;06/07/2025;22/07/2025;23,032.92;23,032.92;EUR;C;;1422885125;8413339;2066319979;RV;B_BILAB01_02;;1;S;0;-2;-3;20
AB10000023;1435065942;09/06/2025;29/06/2025;11,387.91;11,387.91;EUR;B;;1406483427;8432199;2032430573;RV;B_BILAB01_02;;1;S;0;-3;-15;46
AB10000023;1491688657;25/06/2025;13/07/2025;35,105.26;35,105.26;EUR;B;;1413642247;8421435;;RV;B_BILAB01_02;;1;S;0;-13;-19;58
AB10000023;1449175903;26/06/2025;15/07/2025;48,928.10;48,928.10;EUR;C;;1496955305;8427439;2052780854;RV;B_BILAB01_02;;1;S;0;-3;-9;61
AB10000023;1495511500;14/06/2025;22/06/2025;36,081.97;36,081.97;EUR;B;;1424443494;8470667;;RV;B_BILAB01_02;;1;S;0;-9;-6;59
AB10000023;1425964860;01/07/2025;21/07/2025;5,436.88;5,436.88;EUR;I;;1472364055;8415766;2007468278;RV;B_BILAB01_02;;1;S;0;-6;0;18
AB10000023;1404650236;03/07/2025;12/07/2025;24,370.94;24,370.94;EUR;I;;1490058170;8464473;;RV;B_BILAB01_02;;1;S;0;-14;-7;10
AB10000024;1455685189;28/06/2025;07/07/2025;11,457.40;11,457.40;EUR;B;;1477342530;8473549;;RV;B_BILAB01_02;;1;S;0;-6;-15;56
AB10000024;1467786479;03/07/2025;16/07/2025;10,351.58;10,351.58;EUR;B;;1406389044;8413369;;RV;B_BILAB01_02;;1;S;0;-11;-11;49
AB10000024;1489195437;28/07/2025;11/08/2025;19,136.72;19,136.72;EUR;B;;1448887071;8459098;2052040392;RV;B_BILAB01_02;;1;S;0;-5;-2;4
AB10000024;1499181267;06/07/2025;19/07/2025;22,946.28;22,946.28;EUR;B;;1408109611;8451428;2006016023;RV;B_BILAB01_02;;1;S;0;-8;-13;44
AB10000024;1453203304;24/06/2025;14/07/2025;47,965.46;47,965.46;EUR;B;;1461350459;8427320;2003264872;RV;B_BILAB01_02;;1;S;0;-3;-17;30
AB10000024;1469830781;08/07/2025;16/07/2025;23,712.16;23,712.16;EUR;I;;1439345172;8439986;2004682639;RV;B_BILAB01_02;;1;S;0;0;-2;59
AB10000024;1436573670;14/06/2025;21/06/2025;61,634.84;61,634.84;EUR;B;;1417693443;8424076;;RV;B_BILAB01_02;;1;S;0;-8;-16;11
AB10000024;1411816373;10/07/2025;15/07/2025;17,224.32;17,224.32;EUR;C;;1415605647;8416807;;RV;B_BILAB01_02;;1;S;0;-13;-4;28
AB10000024;1404535812;15/06/2025;27/06/2025;42,668.31;42,668.31;EUR;B;;1465619432;8493221;2065009395;RV;B_BILAB01_02;;1;S;0;-11;-13;2
AB10000025;1444494126;27/06/2025;08/07/2025;50,071.55;50,071.55;EUR;C;;1441280670;8497757;2048533777;RV;B_BILAB01_02;;1;S;0;-15;-12;62
AB10000025;1498192495;22/07/2025;31/07/2025;23,545.14;23,545.14;EUR;C;;1418991389;8405998;2037383786;RV;B_BILAB01_02;;1;S;0;-10;-11;27
AB10000025;1454219499;15/06/2025;30/06/2025;14,868.63;14,868.63;EUR;B;;1447804673;8426633;;RV;B_BILAB01_02;;1;S;0;-4;-11;11
AB10000025;1446376487;05/07/2025;18/07/2025;10,869.27;10,869.27;EUR;B;;1420005653;8400874;2067387838;RV;B_BILAB01_02;;1;S;0;-4;-20;30
AB10000025;1431815415;19/06/2025;09/07/2025;40,699.76;40,699.76;EUR;B;;1438751248;8419240;2011324792;RV;B_BILAB01_02;;1;S;0;-5;-9;15
AB10000025;1490282424;02/06/2025;11/06/2025;63,426.55;63,426.55;EUR;I;;1423011150;8447780;2096896127;RV;B_BILAB01_02;;1;S;0;0;-2;31
AB10000025;1439306190;29/07/2025;05/08/2025;16,526.78;16,526.78;EUR;C;;1421150887;8408289;2096462585;RV;B_BILAB01_02;;1;S;0;0;-19;41
AB10000025;1450661142;23/06/2025;02/07/2025;62,710.79;62,710.79;EUR;I;;1414133076;8483652;2051433230;RV;B_BILAB01_02;;1;S;0;-7;-18;31
AB10000026;1451807577;05/06/2025;23/06/2025;18,417.65;18,417.65;EUR;C;;1470230843;8442181;2063958388;RV;B_BILAB01_02;;1;S;0;-3;-8;5
AB10000026;1450643004;16/07/2025;27/07/2025;21,361.59;21,361.59;EUR;B;;1458954423;8497038;2081711210;RV;B_BILAB01_02;;1;S;0;0;-14;11
AB10000026;1451605687;20/07/2025;30/07/2025;27,735.61;27,735.61;EUR;I;;1427050562;8455245;2091139355;RV;B_BILAB01_02;;1;S;0;-1;-5;63
AB10000027;1484599142;01/06/2025;13/06/2025;52,054.52;52,054.52;EUR;I;;1457881553;8460843;;RV;B_BILAB01_02;;1;S;0;-10;-7;48
AB10000027;1499397412;07/06/2025;18/06/2025;13,540.40;13,540.40;EUR;I;;1434194420;8489953;;RV;B_BILAB01_02;;1;S;0;-6;-4;21
AB10000027;1402007826;12/06/2025;25/06/2025;23,925.16;23,925.16;EUR;C;;1430378311;8498724;2098224493;RV;B_BILAB01_02;;1;S;0;-1;-4;14
AB10000027;1411908643;10/07/2025;29/07/2025;22,699.78;22,699.78;EUR;C;;1446161041;8407625;2073579136;RV;B_BILAB01_02;;1;S;0;-5;-17;41
AB10000027;1450695202;01/07/2025;19/07/2025;34,896.73;34,896.73;EUR;B;;1455713744;8459791;;RV;B_BILAB01_02;;1;S;0;-6;-17;21
AB10000028;1482642509;27/06/2025;07/07/2025;53,375.25;53,375.25;EUR;B;;1427356651;8438347;2068600675;RV;B_BILAB01_02;;1;S;0;-1;-4;14
AB10000028;1485458678;07/06/2025;13/06/2025;20,611.56;20,611.56;EUR;B;;1434298931;8480941;2003095539;RV;B_BILAB01_02;;1;S;0;-2;-10;59
AB10000028;1460273743;30/06/2025;07/07/2025;9,807.74;9,807.74;EUR;B;;1413288646;8423309;;RV;B_BILAB01_02;;1;S;0;-1;-12;16
AB10000028;1417747961;01/06/2025;21/06/2025;41,366.53;41,366.53;EUR;B;;1428882083;8495134;;RV;B_BILAB01_02;;1;S;0;-5;-13;13
AB10000028;1456181681;15/07/2025;01/08/2025;12,803.55;12,803.55;EUR;I;;1467486047;8494409;;RV;B_BILAB01_02;;1;S;0;-12;-10;1
AB10000028;1496035091;30/07/2025;15/08/2025;46,507.16;46,507.16;EUR;B;;1450630187;8477395;2023385387;RV;B_BILAB01_02;;1;S;0;-15;-3;48
AB10000028;1468043367;05/07/2025;11/07/2025;61,928.25;61,928.25;EUR;I;;1493251691;8443274;2002466069;RV;B_BILAB01_02;;1;S;0;0;-6;25
AB10000028;1499473433;24/06/2025;01/07/2025;15,427.02;15,427.02;EUR;I;;1483185566;8481539;2047853751;RV;B_BILAB01_02;;1;S;0;-6;-7;38
AB10000029;1417078699;13/07/2025;24/07/2025;17,346.53;17,346.53;EUR;C;;1410613161;8418119;;RV;B_BILAB01_02;;1;S;0;-15;-12;7
AB10000029;1446480487;10/07/2025;26/07/2025;39,335.08;39,335.08;EUR;I;;1401025598;8478409;2000144013;RV;B_BILAB01_02;;1;S;0;-13;-12;58
AB10000029;1426301487;14/06/2025;24/06/2025;43,485.43;43,485.43;EUR;C;;1463230646;8403947;2034241797;RV;B_BILAB01_02;;1;S;0;-6;-11;54
AB10000029;1496973406;27/07/2025;09/08/2025;51,739.78;51,739.78;EUR;C;;1403113516;8477560;2053657270;RV;B_BILAB01_02;;1;S;0;-11;-10;3
AB10000029;1404422657;31/07/2025;09/08/2025;9,831.21;9,831.21;EUR;C;;1480692349;8455175;2043193985;RV;B_BILAB01_02;;1;S;0;0;-8;10
AB10000029;1408983473;09/06/2025;18/06/2025;7,410.56;7,410.56;EUR;C;;1488051573;8496549;;RV;B_BILAB01_02;;1;S;0;-10;-1;28
AB10000029;1436750399;16/06/2025;25/06/2025;26,403.08;26,403.08;EUR;B;;1467078758;8454185;2025171402;RV;B_BILAB01_02;;1;S;0;-1;-19;49
AB10000029;1482315422;03/06/2025;16/06/2025;53,618.21;53,618.21;EUR;I;;1495426285;8410664;2026081636;RV;B_BILAB01_02;;1;S;0;-6;-1;25
AB10000029;1442410927;13/07/2025;23/07/2025;64,362.61;64,362.61;EUR;B;;1456026307;8408538;;RV;B_BILAB01_02;;1;S;0;-15;0;10
AB10000030;1457351638;02/07/2025;19/07/2025;25,429.90;25,429.90;EUR;I;;1475573132;8416375;;RV;B_BILAB01_02;;1;S;0;-14;-15;38
AB10000030;1453326892;03/06/2025;08/06/2025;5,554.34;5,554.34;EUR;B;;1421563479;8485453;2038177606;RV;B_BILAB01_02;;1;S;0;-12;-20;54
AB10000030;1414339897;27/06/2025;12/07/2025;37,159.15;37,159.15;EUR;C;;1463240251;8449806;;RV;B_BILAB01_02;;1;S;0;-9;-18;0
AB10000030;1493824399;22/07/2025;27/07/2025;7,893.63;7,893.63;EUR;B;;1487746266;8422080;;RV;B_BILAB01_02;;1;S;0;-9;-20;62
AB10000030;1443440220;01/06/2025;19/06/2025;39,443.20;39,443.20;EUR;I;;1453818809;8418899;2021026007;RV;B_BILAB01_02;;1;S;0;-15;-12;22
AB10000030;1431675712;11/06/2025;23/06/2025;26,922.91;26,922.91;EUR;C;;1487970445;8482229;2034013939;RV;B_BILAB01_02;;1;S;0;-15;-15;57
AB10000030;1441280949;16/07/2025;04/08/2025;51,779.37;51,779.37;EUR;C;;1404813377;8456904;2038892510;RV;B_BILAB01_02;;1;S;0;-8;-12;48
AB10000030;1482272746;18/06/2025;01/07/2025;40,807.03;40,807.03;EUR;I;;1463816049;8429399;2053240226;RV;B_BILAB01_02;;1;S;0;-6;-18;50
AB10000030;1420296622;17/06/2025;27/06/2025;42,275.34;42,275.34;EUR;B;;1435648310;8495012;2049827622;RV;B_BILAB01_02;;1;S;0;-7;-13;35
AB10000030;1437379274;07/06/2025;19/06/2025;30,737.17;30,737.17;EUR;I;;1452074641;8429056;2085600540;RV;B_BILAB01_02;;1;S;0;-6;-15;62
AB10000030;1438279513;05/06/2025;13/06/2025;8,248.25;8,248.25;EUR;C;;1464983794;8484558;;RV;B_BILAB01_02;;1;S;0;-10;-13;33
AB10000030;1496788395;11/06/2025;21/06/2025;49,784.33;49,784.33;EUR;C;;1460014304;8456936;2057902872;RV;B_BILAB01_02;;1;S;0;-5;-4;46
AB10000030;1473922288;04/07/2025;18/07/2025;26,313.61;26,313.61;EUR;I;;1430438278;8431113;2081825399;RV;B_BILAB01_02;;1;S;0;-15;-1;36
AB10000030;1496026377;10/06/2025;17/06/2025;18,247.20;18,247.20;EUR;B;;1477392784;8487786;;RV;B_BILAB01_02;;1;S;0;-9;-4;32
AB10000030;1426868325;11/06/2025;23/06/2025;46,786.78;46,786.78;EUR;B;;1408437509;8461126;;RV;B_BILAB01_02;;1;S;0;-7;-20;48
AB10000031;1426688060;02/06/2025;20/06/2025;7,449.78;7,449.78;EUR;I;;1471647283;8478870;2044118006;RV;B_BILAB01_02;;1;S;0;-5;-19;2
AB10000031;1462534488;28/06/2025;15/07/2025;59,357.36;59,357.36;EUR;I;;1456183358;8422812;2043836595;RV;B_BILAB01_02;;1;S;0;-9;-3;34
AB10000031;1465524253;21/06/2025;08/07/2025;22,614.64;22,614.64;EUR;I;;1469080650;8444812;2075246152;RV;B_BILAB01_02;;1;S;0;-14;-16;30
AB10000031;1483481985;12/06/2025;22/06/2025;54,307.04;54,307.04;EUR;B;;1453392534;8436297;;RV;B_BILAB01_02;;1;S;0;-3;-17;15
AB10000032;1417001222;30/07/2025;04/08/2025;58,807.33;58,807.33;EUR;I;;1477036948;8469915;2003184155;RV;B_BILAB01_02;;1;S;0;-13;-2;55
AB10000032;1426952469;06/06/2025;26/06/2025;47,986.98;47,986.98;EUR;I;;1499641219;8459840;2031268439;RV;B_BILAB01_02;;1;S;0;-15;-3;47
AB10000032;1474432250;23/07/2025;10/08/2025;30,565.95;30,565.95;EUR;B;;1467451202;8459589;2056080235;RV;B_BILAB01_02;;1;S;0;-2;-5;4
AB10000033;1476217084;14/07/2025;28/07/2025;32,333.06;32,333.06;EUR;C;;1407921225;8408587;2023852313;RV;B_BILAB01_02;;1;S;0;-3;-19;24
AB10000033;1423376944;10/07/2025;25/07/2025;42,358.69;42,358.69;EUR;B;;1462223249;8470518;2056425507;RV;B_BILAB01_02;;1;S;0;-10;-17;16
AB10000033;1411662720;31/07/2025;17/08/2025;66,722.30;66,722.30;EUR;C;;1470301190;8499391;2054834577;RV;B_BILAB01_02;;1;S;0;-13;-3;20
AB10000033;1423666265;28/06/2025;03/07/2025;37,598.84;37,598.84;EUR;I;;1471116686;8489082;2001809566;RV;B_BILAB01_02;;1;S;0;-11;-4;53
AB10000033;1463916078;03/07/2025;08/07/2025;22,296.74;22,296.74;EUR;B;;1493291771;8456954;2092706023;RV;B_BILAB01_02;;1;S;0;-9;-2;22
AB10000033;1419437466;30/06/2025;15/07/2025;67,373.10;67,373.10;EUR;B;;1441123886;8471301;2046733412;RV;B_BILAB01_02;;1;S;0;0;-14;52
AB10000033;1478011720;05/06/2025;11/06/2025;18,808.10;18,808.10;EUR;B;;1436365301;8497447;2034427067;RV;B_BILAB01_02;;1;S;0;-15;-20;52
AB10000033;1489212084;22/07/2025;28/07/2025;63,229.43;63,229.43;EUR;C;;1438818854;8400038;2018531500;RV;B_BILAB01_02;;1;S;0;-5;-20;30
AB10000034;1439809834;28/07/2025;10/08/2025;23,556.67;23,556.67;EUR;B;;1477012429;8429681;2022391303;RV;B_BILAB01_02;;1;S;0;-14;-18;45
AB10000034;1452163484;29/06/2025;09/07/2025;31,765.67;31,765.67;EUR;B;;1430703846;8483242;2081295489;RV;B_BILAB01_02;;1;S;0;-15;-1;14
AB10000034;1451217396;23/06/2025;04/07/2025;55,660.76;55,660.76;EUR;B;;1497573945;8441844;;RV;B_BILAB01_02;;1;S;0;-2;-20;46
AB10000034;1467692382;26/07/2025;03/08/2025;35,705.56;35,705.56;EUR;C;;1490277339;8492645;2056854707;RV;B_BILAB01_02;;1;S;0;-4;-8;48
AB10000034;1480955077;05/07/2025;12/07/2025;66,579.60;66,579.60;EUR;C;;1451907124;8450748;;RV;B_BILAB01_02;;1;S;0;-6;-6;28
AB10000034;1406113445;24/07/2025;30/07/2025;22,616.19;22,616.19;EUR;I;;1422130696;8490389;;RV;B_BILAB01_02;;1;S;0;-1;-20;16
AB10000034;1451007108;21/06/2025;29/06/2025;9,839.42;9,839.42;EUR;I;;1484803048;8498900;2015138067;RV;B_BILAB01_02;;1;S;0;0;0;45
AB10000034;1420082622;13/06/2025;21/06/2025;46,594.68;46,594.68;EUR;I;;1498364543;8433593;;RV;B_BILAB01_02;;1;S;0;-5;-5;58
AB10000034;1454721953;13/07/2025;21/07/2025;16,986.47;16,986.47;EUR;C;;1439826603;8458692;;RV;B_BILAB01_02;;1;S;0;0;-14;32
AB10000034;1444389299;03/07/2025;10/07/2025;34,578.46;34,578.46;EUR;B;;1436457828;8468029;;RV;B_BILAB01_02;;1;S;0;-2;-11;52
AB10000034;1453939367;29/06/2025;19/07/2025;65,244.51;65,244.51;EUR;B;;1479698436;8435516;2035666605;RV;B_BILAB01_02;;1;S;0;-8;-10;9
AB10000035;1456211816;17/06/2025;06/07/2025;12,886.74;12,886.74;EUR;I;;1493715974;8405385;2057975184;RV;B_BILAB01_02;;1;S;0;-15;0;26
AB10000035;1407047858;15/07/2025;24/07/2025;56,146.77;56,146.77;EUR;C;;1404964103;8467005;2008588168;RV;B_BILAB01_02;;1;S;0;-10;-5;6
AB10000035;1499468048;11/07/2025;30/07/2025;25,890.65;25,890.65;EUR;C;;1438117066;8439063;2007002887;RV;B_BILAB01_02;;1;S;0;-12;-17;41
AB10000035;1465648817;13/06/2025;25/06/2025;58,650.58;58,650.58;EUR;C;;1422710337;8498303;2042966276;RV;B_BILAB01_02;;1;S;0;0;-18;24
AB10000035;1496198468;23/07/2025;07/08/2025;35,916.87;35,916.87;EUR;B;;1462892269;8423642;2088299296;RV;B_BILAB01_02;;1;S;0;-12;-7;12
AB10000035;1475219186;26/07/2025;11/08/2025;61,137.12;61,137.12;EUR;B;;1462576771;8401256;2055254745;RV;B_BILAB01_02;;1;S;0;-4;-12;32
AB10000035;1414001513;01/07/2025;11/07/2025;65,185.68;65,185.68;EUR;C;;1424576172;8461086;;RV;B_BILAB01_02;;1;S;0;-1;-12;12
AB10000035;1410275845;01/07/2025;17/07/2025;37,883.81;37,883.81;EUR;I;;1426429797;8405616;2048153978;RV;B_BILAB01_02;;1;S;0;-1;-11;24
AB10000036;1462573701;29/07/2025;14/08/2025;39,390.43;39,390.43;EUR;C;;1429886668;8432395;2080811301;RV;B_BILAB01_02;;1;S;0;0;-16;56
AB10000036;1497757136;09/07/2025;22/07/2025;30,951.36;30,951.36;EUR;I;;1471611976;8437148;2010276812;RV;B_BILAB01_02;;1;S;0;-15;-9;59
AB10000036;1482697087;07/07/2025;13/07/2025;7,536.16;7,536.16;EUR;I;;1418351432;8473605;2064411145;RV;B_BILAB01_02;;1;S;0;-7;-7;58
AB10000036;1444053964;27/06/2025;12/07/2025;26,191.16;26,191.16;EUR;I;;1479140561;8482330;2025852508;RV;B_BILAB01_02;;1;S;0;-6;-2;33
AB10000036;1411232419;05/07/2025;11/07/2025;63,213.49;63,213.49;EUR;C;;1421815394;8433127;2062412777;RV;B_BILAB01_02;;1;S;0;-10;-10;39
AB10000036;1425001466;06/06/2025;22/06/2025;48,962.60;48,962.60;EUR;I;;1447226853;8438146;2062210521;RV;B_BILAB01_02;;1;S;0;-6;-3;10
AB10000036;1480751414;09/06/2025;20/06/2025;67,409.38;67,409.38;EUR;C;;1482527016;8438849;2078311739;RV;B_BILAB01_02;;1;S;0;-2;0;17
AB10000036;1447043394;29/06/2025;07/07/2025;68,808.99;68,808.99;EUR;I;;1457377186;8486560;;RV;B_BILAB01_02;;1;S;0;-4;-6;39
AB10000036;1479706645;11/06/2025;16/06/2025;51,777.86;51,777.86;EUR;I;;1413636421;8453889;;RV;B_BILAB01_02;;1;S;0;-10;0;12
AB10000036;1415345331;19/07/2025;07/08/2025;16,864.41;16,864.41;EUR;C;;1459030544;8422410;2022570817;RV;B_BILAB01_02;;1;S;0;-5;-2;42
AB10000036;1478983559;05/07/2025;12/07/2025;56,960.91;56,960.91;EUR;C;;1403454410;8483161;2016822812;RV;B_BILAB01_02;;1;S;0;-15;-9;19
AB10000036;1443746342;31/07/2025;16/08/2025;8,257.26;8,257.26;EUR;B;;1497993041;8472682;2029243848;RV;B_BILAB01_02;;1;S;0;-10;-6;25
AB10000036;1444037564;27/07/2025;16/08/2025;51,633.62;51,633.62;EUR;C;;1496461523;8465950;2025402698;RV;B_BILAB01_02;;1;S;0;-10;-6;7
AB10000036;1462512347;16/06/2025;04/07/2025;53,505.47;53,505.47;EUR;I;;1487415883;8467056;2082628564;RV;B_BILAB01_02;;1;S;0;-14;-12;28
AB10000037;1428256878;02/07/2025;11/07/2025;68,632.21;68,632.21;EUR;B;;1439654391;8462280;2025838032;RV;B_BILAB01_02;;1;S;0;-8;-20;49
AB10000037;1438421494;09/06/2025;29/06/2025;57,576.43;57,576.43;EUR;B;;1464881657;8457363;;RV;B_BILAB01_02;;1;S;0;-13;-20;2
AB10000037;1475050147;24/07/2025;01/08/2025;34,494.21;34,494.21;EUR;I;;1445793491;8456062;;RV;B_BILAB01_02;;1;S;0;-9;-7;15
AB10000037;1427807253;24/07/2025;01/08/2025;49,387.98;49,387.98;EUR;B;;1455572612;8468501;2020143170;RV;B_BILAB01_02;;1;S;0;-7;-19;45
AB10000037;1494228718;18/06/2025;27/06/2025;56,537.29;56,537.29;EUR;C;;1476048726;8478461;2071433530;RV;B_BILAB01_02;;1;S;0;-3;-18;39
AB10000038;1484248086;12/06/2025;22/06/2025;62,541.67;62,541.67;EUR;C;;1422046128;8401260;2088302186;RV;B_BILAB01_02;;1;S;0;-5;-1;35
AB10000038;1472295260;21/07/2025;26/07/2025;65,166.59;65,166.59;EUR;B;;1444878929;8419911;2040506883;RV;B_BILAB01_02;;1;S;0;-10;-16;6
AB10000038;1495600619;25/07/2025;11/08/2025;6,139.86;6,139.86;EUR;C;;1416212795;8434887;;RV;B_BILAB01_02;;1;S;0;-6;-17;4
AB10000038;1449654681;06/06/2025;18/06/2025;48,794.59;48,794.59;EUR;C;;1486693309;8401310;2066683865;RV;B_BILAB01_02;;1;S;0;-6;-12;7
AB10000038;1457244521;29/06/2025;07/07/2025;26,807.21;26,807.21;EUR;B;;1493709699;8408047;2031144468;RV;B_BILAB01_02;;1;S;0;-13;0;41
AB10000038;1466694845;15/07/2025;21/07/2025;59,836.47;59,836.47;EUR;C;;1444469091;8453126;;RV;B_BILAB01_02;;1;S;0;-8;-8;47
AB10000038;1480995915;01/07/2025;08/07/2025;69,766.20;69,766.20;EUR;I;;1406588060;8411953;2073039923;RV;B_BILAB01_02;;1;S;0;-9;-11;52
AB10000039;1454519921;21/06/2025;01/07/2025;69,276.90;69,276.90;EUR;I;;1481422345;8448291;2080667781;RV;B_BILAB01_02;;1;S;0;-15;-5;50
AB10000039;1470570496;16/06/2025;04/07/2025;25,528.12;25,528.12;EUR;C;;1476169079;8498098;2043297221;RV;B_BILAB01_02;;1;S;0;-3;-11;41
AB10000039;1442836087;03/07/2025;17/07/2025;16,896.93;16,896.93;EUR;I;;1482939041;8476907;2011059833;RV;B_BILAB01_02;;1;S;0;-14;-16;27
AB10000039;1452592818;07/07/2025;27/07/2025;63,337.96;63,337.96;EUR;B;;1424166626;8427441;;RV;B_BILAB01_02;;1;S;0;-9;-13;2
AB10000039;1445214290;16/07/2025;29/07/2025;34,402.35;34,402.35;EUR;I;;1498470402;8460939;2027146299;RV;B_BILAB01_02;;1;S;0;-14;-8;39
AB10000039;1469246100;02/07/2025;22/07/2025;64,732.46;64,732.46;EUR;C;;1451073987;8454463;;RV;B_BILAB01_02;;1;S;0;-5;-10;7
AB10000039;1492533474;28/06/2025;09/07/2025;54,363.18;54,363.18;EUR;B;;1483136827;8433988;2027546153;RV;B_BILAB01_02;;1;S;0;-10;-8;2
AB10000039;1458864318;05/06/2025;12/06/2025;18,389.21;18,389.21;EUR;I;;1478327724;8430873;;RV;B_BILAB01_02;;1;S;0;-2;0;26
